login,password,family_name,preferred_username,given_name,gender,email,phone_number,birthdate,birthplace,birthcountry,country,locality,postal_code,street_address
Min17,azerty,Essai,Essai,"William, Haroun, Rabii",Male,min17@mail.com,0612345678,2000-01-20,39469,99100,France,Andelot-Morval,39320,"115, route de Saint-Amour"
Min18,azerty,Essai,Essai,"Younès, Abdelmajid, Abdessalam",Male,min18@mail.com,0612345678,2008-05-24,39263,99100,France,Andelot-Morval,39320,"78, rue de la république"
Min19,azerty,Essai,Essai,"An, Ramiz",Male,min19@mail.com,0612345678,2006-04-13,39392,99100,France,Andelot-Morval,39320,"12, Avenue de la Montagne magique"
Min20,azerty,Essai,Essai,"Anaïs, Mïya, Yüna, Bao",Female,min20@mail.com,0612345678,1938-05-21,,99352,France,Andelot-blancheville,39320,"15, rue Pierre Paul-Jaques"
Min21,azerty,Essai Spécimen,Essai Spécimen,"Anaïs, Evelina, Eve",Female,min21@mail.com,0612345678,2012-02-06,93027,99100,France,Saint-Orens-de-Gameville,31650,"46, avenue Gameville"
Min22,azerty,Essai Spécimen,Essai Spécimen,"Charlotte, Inaya, Margaux",Female,min22@mail.com,0612345678,1992-02-06,29019,99100,France,La Besseyre-Saint-Mary,43170,228 ter Rue de Charlemagne
Min23,azerty,Essai Spécimen,Essai Spécimen,"Jean-François, Abriel, Aedan, Aelig",Male,min23@mail.com,0612345678,1982-06-08,59606,99100,France,Val D'anast,35330,11 rue de Lohéac Maure de Bretagne
Min24,azerty,Essai Spécimen,Essai Spécimen,"Chems-Eddine, Noureddine, Redouane",Male,min24@mail.com,0612345678,2017-11-22,10387,99100,France,Saint-Orens-Pouy-Petit,31650,"46, avenue Gameville"
Min25,azerty,Essai Spécimen,Essai Spécimen,"Ouassila, Noura",Female,min25@mail.com,0612345678,2018-12-08,64445,99100,France,Saint-Orens-de-Gameville,31650,"146, avenue Gameville"
Min26,azerty,Essai Spécimen,Essai Spécimen,"Radhia, Zoulikha",Female,min26@mail.com,0612345678,2015-02-04,38052,99100,France,Saint-Martin-de-l'If,31650,"46, avenue Gameville"
Min27,azerty,Essai -Spécimen,Essai -Spécimen,"Zakaria, Yanice, Anissa",Female,min27@mail.com,0612345678,2014-11-09,60038,99100,France,Saint-Orens-de-Gameville,31650,"6, avenue Gameville"
Min28,azerty,Forêtessai,Jardinessai,"Elizabeth, Victoria, Anne",Female,min28@mail.com,0612345678,1975-03-27,27284,99100,France,Paris,75008,122 Avenue des Champs Elysées
Min29,azerty,Forêtessai,Forêtessai,"Adrien, Louis, Jean-François",Male,min29@mail.com,0612345678,2005-02-21,75112,99100,France,Paris,75008,122 Avenue des Champs Elysées
Min30,azerty,FÜRSTENBERGER ESSAI,FÜRSTENBERGER ESSAI,"ingrid, angela, Anja",Female,min30@mail.com,0612345678,1988-11-15,80001,99100,France,Daubeuf-la-Campagne,27110,"28, rue Grande"
Min31,azerty,GRATTON ESSAI,GRATTON ESSAI,HELENE,Female,min31@mail.com,0612345678,1992-06-04,,99140,France,Le Vivier,66730,"10, rue Principale"
Min32,azerty,GRATTON ESSAI,GRATTON ESSAI,LOUIS,Male,min32@mail.com,0612345678,2004-06-08,29019,99100,France,Le Vivier,66730,"10, rue Principale"
Min33,azerty,GRATTON ESSAI,GRATTON ESSAI,"LOUIS, PIERRE, JEAN, PAUL",Male,min33@mail.com,0612345678,2002-07-08,33063,99100,France,Le Vivier,66730,"10, rue Principale"
Min34,azerty,HORTI ESSAI,HORTI ESSAI,"Hortense, Marie-Caroline",Female,min34@mail.com,0612345678,1988-05-21,93072,99100,France,Saint-albans-des-hurtières,31650,"46, avenue Gameville"
Min35,azerty,JAGUAR ESSAI,Essai  Spécimen,Dominique,Indeterminate,min35@mail.com,0612345678,1956-11-19,93070,99100,France,Saint-Julien-des-Chazes,43330,"110, Rue des marroniers"
Min36,azerty,Jardinessai,Jardinessai,"David, Jean-Michel, Alphonse",Male,min36@mail.com,0612345678,1950-01-27,78551,99100,France,Paris,75008,122 Avenue des Champs Elysées
Min37,azerty,Jardinessai,Jardinessai,"François, Jean-Pierre, Edouard",Male,min37@mail.com,0612345678,2001-01-27,,99328,France,Paris,75008,186 Boulevard Malesherbes
Min38,azerty,Jessai,Jessai,"Fabrice, Peter, Alessandro",Male,min38@mail.com,0612345678,1976-06-08,34032,99100,France,Ville-devant-belrain,54710,"18, rue du Château"
Min39,azerty,Jessai,Jessai,"Nawel, Alba, Asmahane",Female,min39@mail.com,0612345678,1984-11-28,64445,99100,France,Ville-devant-belrain,54710,"18, rue du Château"
Min40,azerty,Jessai,Mïnutie Essai,"Angelina, Tiana",Female,min40@mail.com,0612345678,1985-02-03,11069,99100,France,Saint-Acheul,54710,181 bis rue du Château fort
Min41,azerty,Jessai,Jessai,"Hadrien, Matthias",Male,min41@mail.com,0612345678,2000-06-05,31555,99100,France,Ville-devant-Nancy,54710,"18, rue du Château"
Min42,azerty,Jessai,Jessai,"Zakaria, Aydan, Tylio",Male,min42@mail.com,0612345678,2012-02-04,26362,99100,France,Ville-devant-Nancy,54710,48 rue du Château
Min43,azerty,Jessai,Jessai,"Yasser, Ilian, Arslane, hubert",Male,min43@mail.com,0612345678,2004-09-05,,99123,France,Chalmaison,77650,35 chemin des pâquerettes
Min44,azerty,Jessai,Jessai,"Denis, Paul-Henri, Frédéric",Male,min44@mail.com,0612345678,2008-03-21,,99341,France,Ville-devant-Nancy,54710,"10, rue des roses"
Min45,azerty,JOUTTE ESSAI,JOUTTE ESSAI,Aelig,Indeterminate,min45@mail.com,0612345678,1999-08-02,35238,99100,France,Villers-Saint-Sépulcre,60134,"28, rue de la Place"
Min46,azerty,JYURNT ESSAI,JYURNT ESSAI,"Vladimir, Oleg, Dimitri",Male,min46@mail.com,0612345678,1995-03-02,94080,99100,France,Goyrans,31120,"185, chemin des Crêtes"
Min47,azerty,KANAL ESSAI,KANAL ESSAI,"Salim, Ines",Male,min47@mail.com,0612345678,1968-12-11,92049,99100,France,Palaminy,31220,"4, rue de Savoie"
Min48,azerty,La Belle Maison Essai,La Belle Maison Essai,"Thomas, Jacques, Paul",Male,min48@mail.com,0612345678,1986-09-08,37261,99100,France,Orléans,45000,"2, allée du grand chemin"
Min49,azerty,Le pont du GARD ESSAI,Le pont du GARD ESSAI,"Antoine, Valentin",Male,min49@mail.com,0612345678,2002-10-08,39389,99100,France,Brainans,39800,26 rue des Ecoles
Min50,azerty,LEOPARDI ESSAI,LEOPARDI ESSAI,"PIERRE-JEAN, ALAIN, JEAN-EMMANUEL",Male,min50@mail.com,0612345678,1992-06-04,78455,99100,France,Chalmaison,77650,"29, rue Henri-Brugeail"
Min51,azerty,Levoilier-essai,Levoilier-essai,"Tess, Alia, Joy, Jennah",Female,min51@mail.com,0612345678,1995-03-02,28085,99100,France,Aumont,39800,"1, route de Genève"
Min52,azerty,Liilleroubaixessai,Liilleroubaixessai,"Kilian, Robin",Male,min52@mail.com,0612345678,2016-04-14,39431,99100,France,Barcelonette,04400,18 avenue Antoine signoret
Min53,azerty,LOIPRITYL ESSAY,LOIPRITYL ESSAY,"VINCENT, ROBERT, TRANXIL",Male,min53@mail.com,0612345678,2006-04-13,63113,99100,France,Château Arnoux St Auban,04160,200 RUE DES CIGALONS
Min54,azerty,Lyod de la MER Essai,Specimen,"Timéo, Théo, Ismaël",Male,min54@mail.com,0612345678,1978-02-18,39065,99100,France,Germigney,39380,4 Rue du Val d'Amour
Min55,azerty,Mïnutie Essai,Mïnutie Essai,"Alfred, Albert, Denis",Male,min55@mail.com,0612345678,1988-11-15,01353,99100,France,Digne-les-Bains,04070,294 rue du casteu
Min56,azerty,Mïnutie Essai,Mïnutie Essai,"Véronique, Sophie, Annabelle",Female,min56@mail.com,0612345678,2000-01-12,01036,99100,France,Haussonville,54290,"18, Grande rue"
Min57,azerty,Mïnutie Essai,Mïnutie Essai,"Raphaël, Louis, Martin",Male,min57@mail.com,0612345678,1999-08-12,02321,99100,France,Forcalquier,04300,5 boulevard de la république
Min58,azerty,Mïnutie Essai,Mïnutie Essai,"Bartosz, Barthelemy, Barnabe",Male,min58@mail.com,0612345678,2007-09-01,21433,99100,France,Greoux-les-bains,04800,16 rue Mousseline
Min59,azerty,Mïnutie Essai,Mïnutie Essai,Léa,Female,min59@mail.com,0612345678,2007-05-13,01054,99100,France,Mallemoisson,04510,637 avenue du 14 juillet 1789
Min60,azerty,Mïnutie Essai,Mïnutie Essai,"Manon, Alice",Female,min60@mail.com,0612345678,2008-05-24,24380,99100,France,Manosque,04100,314 montée des Adrechs
Min61,azerty,Mïnutie Essai,Mïnutie Essai,"Rose, Luce, Stella",Female,min61@mail.com,0612345678,2004-08-03,46063,99100,France,Haussonville,54290,"38, Grande rue"
Min62,azerty,POLLI ESSAI,POLLI ESSAI,Evelyne,Female,min62@mail.com,0612345678,1968-03-02,59599,99100,France,Delincourt,60240,"61, rue de la Vallée"
Min63,azerty,Mondeessai,Mondeessai,"Andréa, Safà, Assiya",Female,min63@mail.com,0612345678,1968-12-11,51513,99100,France,Andelot-Morval,39320,"115, route de Saint-Amour"
Min64,azerty,PRATJOLOI ESSAI,Essai,"VERONIQUE, ANNE, JULIE, MARIE-DOMINIQUE",Female,min64@mail.com,0612345678,1964-11-18,75113,99100,France,Paris,75017,"112, Boulevard Péreire"
Min65,azerty,Pesteessai,AGRELLOT,"Jean, Frédéric, Gérard",Male,min65@mail.com,0612345678,1986-01-31,91689,99100,France,Fontenay-Saint-Père,78440,13 chemin de la mairie
Min66,azerty,POULIN ESSAI,POULIN ESSAI,"PETER, JOHN, ROBERT",Male,min66@mail.com,0612345678,1962-05-15,92024,99100,France,Latrape,31310,"35, Grand'rue"
Min67,azerty,PRATJOLOI ESSAI,PRATJOLOI ESSAI,"EDOUARD, JEAN-CHARLES, EUDES",Male,min67@mail.com,0612345678,2008-05-24,75111,99100,France,Calacuccia,20224,"1, Avenue Valdoniello"
Min68,azerty,Bristaïnessaî,Bristaïnessaî,Ayoub,Male,min68@mail.com,0612345678,1984-12-10,02053,99100,France,Lavans-Sur-Dole,39700,"4 A, rue Saint-Didier"
Min69,azerty,SHAKESPEARE,SHAKESPEARE,"WILLIAM, TEST, SPECIMEN",Male,min69@mail.com,0612345678,1964-04-23,,99132,France,Fontrabiouse,66210,8 Boulevard du théâtre
Min70,azerty,Specimen,Specimen,"Stéphane, Eric, Gérard",Male,min70@mail.com,0612345678,2004-06-18,05118,99100,France,Germigney,39380,4 Rue du Val d'Amour
Min71,azerty,Specimen,Specimen,"Anabelle, Estelle, Viriginie",Female,min71@mail.com,0612345678,1989-12-02,01426,99100,France,Condamine,39570,"456, rue du Centre"
Min72,azerty,Specimen,Essai,"Anne-Lucie, Philomène, Dominique",Female,min72@mail.com,0612345678,2000-01-01,22084,99100,France,Fontenay-Saint-Père,78440,35 rue de la petite vallée
Min73,azerty,Specimen,Specimen,"Claude, Dominique, Sophie",Female,min73@mail.com,0612345678,1999-12-24,28093,99100,France,Marly-le-Roy,39380,41 Chemin des Maigrets
Min74,azerty,Recofaciale Essai,Recofaciale Essai,"Jessaie, Jeréessaie, Jabandonne",Female,min74@mail.com,0612345678,1978-04-13,78382,99100,France,Le Mesnil-le-Roy,78600,4 rue des folies
Min75,azerty,Saroule Specimen,Saroule Specimen,"Sophie, Sarah, Emma",Female,min75@mail.com,0612345678,2006-08-18,31498,99100,France,Mantes-la-ville,78711,29 rue des meuniers
Min76,azerty,SPECIMÈN à Î Ï Ñ Ò  Ô Õ Ö Ù Ú Û Ü Ý Ÿ Œ AE,SPECIMÈN à Î Ï Ñ Ò  Ô Õ Ö Ù Ú Û Ü Ý Ÿ Œ AE,"Ines, Camille, Francesca",Female,min76@mail.com,0612345678,2009-10-29,39567,99100,France,Sainte Tulle,04220,93 Allée des Micocouliers
Min77,azerty,ARUNDSSENJOHNSJT Specimen,ARUNDSSENJOHNSJT Specimen,"Chloé, Lina, Béatrice, Ölvirgmünda",Female,min77@mail.com,0612345678,2008-11-09,82042,99100,France,Viroflay,78686,5 Avenue Gaston Boissier
Min78,azerty,Specimen Öuljstïmî,Specimen Öuljstïmî,"Henry, Charles, Thomas",Male,min78@mail.com,0612345678,1962-05-01,82144,99100,France,Saint-Mesmes,78730,117 route de dourdan
Min79,azerty,Choulnistovitchowxa Specimen,Choulnistovitchowxa Specimen,"Sacha, Noah",Male,min79@mail.com,0612345678,2004-03-02,39487,99100,France,Saint-Germain-en-Laye,78100,33 rue d'Alsace
Min80,azerty,Poytreza Specimen,Poytreza Specimen,"Gabin, Nolan, Louis, Amaury",Male,min80@mail.com,0612345678,1987-08-09,66136,99100,France,Germigney,39380,4 Rue du Val d'Amour
Min81,azerty,SPÉCIMÈN À Â Ã Ä Æ Ç È É Ê Ë,J'aime la reco de caractères,"Ferdinand, Idriss",Male,min81@mail.com,0612345678,2002-04-23,39132,99100,France,Germigney,39380,4 Rue du Val d'Amour
Min82,azerty,Spécimen Essai,Spécimen Essai,"Alexander, Andrew, Antony",Male,min82@mail.com,0612345678,1974-11-21,06088,99100,France,Triel-sur-Seine,78510,4 rue du noyer Godard
Min83,azerty,Spécimen Essai,Spécimen Essai,"Hugo, léo, Pierre, Jean-Marie",Male,min83@mail.com,0612345678,1980-05-27,26198,99100,France,Rambouillet,78120,"18, rue de la Pommeraie"
Min84,azerty,Spécimen Essai,Spécimen Essai,"Hugo, léo, Pierre, Jean-Marie",Male,min84@mail.com,0612345678,1980-05-27,26198,99100,France,Rambouillet,78120,"18, rue de la Pommeraie"
Min85,azerty,Spécimen Essai,Spécimen Essai,"Winston, Hans-georg, Antoine",Male,min85@mail.com,0612345678,2012-05-27,,99138,France,Triel-sur-Seine,78510,4 rue du noyer Godard
Min301,azerty,BEN ARFA,BEN ARFA,Tarek,Male,min301@mail.com,0612345678,1993-01-04,,99205,France,NIMES,30000,
Min302,azerty,RED,RED,Rachel,Female,min302@mail.com,0612345678,1954-05-01,,99341,France,NIMES,30000,
Min303,azerty,ABDELKADER,ABDELKADER,Monica,Female,min303@mail.com,0612345678,1977-09-13,,99350,France,NIMES,30000,
Min304,azerty,BEN ALDERIA,BEN ALDERIA,Chandler,Female,min304@mail.com,0612345678,1957-09-13,,99352,France,NIMES,30000,
Min305,azerty,LI PENG,LI PENG,Ross,Male,min305@mail.com,0612345678,2001-11-12,,99216,France,NIMES,30000,
Min306,azerty,TAKASHI,TAKASHI,Joey,Male,Min306@mail.com,0612345678,1954-05-01,,99217,France,NIMES,30000,
Min307,azerty,MOHINIYATTAM,MOHINIYATTAM,Rémi,Male,Min307@mail.com,0612345678,1992-03-14,,99223,France,NIMES,30000,
Min308,azerty,MARQUISE,MARQUISE,Charles-Henry,Male,Min308@mail.com,0612345678,1992-03-12,,99254,France,NIMES,30000,
Min309,azerty,CRUZERO,CRUZERO,Nathaly,Female,Min309@mail.com,0612345678,1985-01-01,,99424,France,NIMES,30000,
Min310,azerty,VEGAS,VEGAS,Johnny,Male,Min310@mail.com,0612345678,1991-01-01,,99139,France,NIMES,30000,
Min311,azerty,ZIDANE,ZIDANE,John,Male,Min311@mail.com,0612345678,1991-01-01,,99139,France,NIMES,30000,
Min312,azerty,HOLLYDAY,HOLLYDAY,Johnny,Male,Min312@mail.com,0612345678,1991-01-01,,99139,France,NIMES,30000,
Min313,azerty,ANTS,ANTS,Nathalie,Female,Min313@mail.com,0612345678,1993-01-04,,99205,France,NIMES,30000,
Min314,azerty,STALLONE,STALLONE,Najat,Female,Min314@mail.com,0612345678,1974-12-01,,99225,France,NIMES,30000,
Min315,azerty,PICO,PICO,Alexi,Male,Min315@mail.com,0612345678,1993-09-08,,99134,France,NIMES,30000,
Min316,azerty,WONDER-LAND,WONDER-LAND,Alice,Female,Min316@mail.com,0612345678,2002-02-20,,99134,France,NIMES,30000,
Min317,azerty,RICARDO,RICARDO,Jonatan,Male,Min317@mail.com,0612345678,1978-03-03,,99134,France,NIMES,30000,
Min318,azerty,MOULINA,MOULINA,Celia,Female,Min318@mail.com,0612345678,1993-04-01,,99139,France,NIMES,30000,
Min319,azerty,BOLERO,BOLERO,Julien,Male,Min319@mail.com,0612345678,1994-05-12,,99134,France,NIMES,30000,
Min320,azerty,NORRIS,NORRIS,Chuck,Male,Min320@mail.com,0612345678,1997-07-27,,99404,France,NIMES,30000,
